id|name|current price|crossed price|product category|product page URL|image|description
1|Poulet yassa|3,50|||https://www.quitoquego.fr/|https://www.quitoquego.fr/3015-home_default/poulet-yassa.jpg|45 min
2|Pita de patate douce et tzatziki|4,50||V‚g‚|https://www.quitoquego.fr/|https://www.quitoquego.fr/2759-home_default/pita-de-patate-douce-et-tzatziki.jpg|30 min
2|Spicy tuna bowl|5,00||Express|https://www.quitoquego.fr/|https://www.quitoquego.fr/2899-home_default/spicy-tuna-bowl.jpg|20 min
2|Sushirrito au fromage fouett‚|5,00||V‚g‚|https://www.quitoquego.fr/|https://www.quitoquego.fr/2951-home_default/sushirrito-au-fromage-fouette.jpg|25 min
